Step n.,.PDF Matching ,Image reference (for VLM),Video reference,Positive (bearing_cone),Negative (bearing_cone),Notes,Step title,,,Step description,Parts Referenced (CNH),Parts Image Files,Parts Description
1,PHASE 1,(phase 1 pic),,bearing_cup_248114a1_pos_correct_1.png; bearing_cups_248114a1_191440a1_timken_up.png,bearing_cup_248114a1_flip_1.png,,4900.12001 P100  BEARING CUP ON COVER,100,X900.SWR.901.A01,INSERT PUNCH FIXTURE cod.3187.111.100.09. COLLECT BIG BEARING CUP cod.248114A1 AND FIX ON PUNCH FIXTURE.  SET COVER ASSY ON LH PALLET. PRESS IT.,248114A1,bearing_cup_248114a1_pos_correct_1.png,"BEARING, CUP, INBOARD BEVEL PINION (BIG BEARING CUP) — cod.248114A1"
2,PHASE 2,(phase 2 pic),,bearing_cup_191440a1_pos_correct_1.png; bearing_cup_191440a1_pos_correct_2.png; bearing_cup_191440a1_pos_correct_3.png; bearing_cups_248114a1_191440a1_timken_down.png,bearing_cup_191440a1_flip_1.png; bearing_cup_191440a1_flip_2.png; bearing_cup_191440a1_flip_3.png; bearing_cup_191440a1_flip_4.png,,4900.12001 P100  BEARING CUP ON COVER 2,100,X900.SWR.901.A01,COLLECT SMALL BEARING CUP Cod. 191440A1 AND FIX ON COVER. MAKE SURE THE DRAWER IS OUT. PRESS IT. MOVE APART THE COVER PINION.,191440A1,part_IMG_3079.png; part_IMG_3079_2.png; part_IMG_3079_3.png; bearing_cup_191440a1_1.png; bearing_cup_191440a1_pos_correct_1.png; bearing_cup_191440a1_side_1.png,"BEARING, CUP, 140.0048 OD X 28.4734 W"
3,PHASE 3,no picture,,,,,P100 FEELER GAUGE SNAP RING,100,X900.SWR.901.A01,"CHECK WITH FEELER GAUGE UNDER THE SNAP RING IN THREE DIFFERENT POSITION 0/120/270 DEGREES,",,,
4,PHASE 4,(phase 3 pic),,bearing_cone_248118a1_pos_correct_1.png; bearing_cone_248118a1_pos_correct_2.png; bearing_cone_248118a1_pos_correct_3.png; bearing_cone_248118a1_pos_correct_4.png,bearing_cone_248118a1_flip.png; bearing_cone_248118a1_flip_2.png; bearing_cone_248118a1_flip_3.png,,4900.12001 P100 INF BEARING ON PINION,100,X900.SWR.901.A01,OBTAIN PINION SHAFT cod.90392542 WITH BIG BEARING CONE cod.248118A1 AND SET INTO THE PINION PRESS PALLET. COLLECT PUNCH cod.3187.111.100.07 FIXTURE AND PRESS IT.,248118A1,bearing_cone_248118a1_pos_correct_1.png,"BEARING, CONE, INBOARD BEVEL PINION — cod.248118A1"
5,PHASE 5,no picture,,,,,P100 FEELER GAUGE SNAP RING,100,X900.SWR.901.A01,"CHECK WITH FEELER GAUGE UNDER THE SNAP RING IN THREE DIFFERENT POSITION 0/120/270 DEGREES,",,,
6,PHASE 6,(phase 4 pic),Phase6_Video.MP4,bearing_cone_67190r91_pos_correct_1.png; bearing_cone_67190r91_pos_correct_2.png; bearing_cone_67190r91_pos_correct_3.png; bearing_cone_67190r91_pos_correct_side.png,bearing_cone_67190r91_flip.png; bearing_cone_67190r91_flip_2.png; bearing_cone_67190r91_flip_3.png; bearing_cone_67190r91_flip_side.png,,4900.12001 P100 SUP BEARING ON PINION,100,X900.SWR.901.A01,PLACE COVER TO THE PINION SHAFT ON THE PRESS PALLET AND REMOVE HOIST SLING FROM THE COVER. PLACE BEARING CONE cod.67190R91 TO THE COVER AND PLACE DRIVER cod.3187.111.180.00 OVER.  PRESS IT,67190R91; 3187.111.180.00,bearing_cone_67190r91_pos_correct_1.png; driver_3187_111_180_00.png,"BEARING, CONE, 82.5 X 36.0; DRIVER cod.3187.111.180.00"
7,PHASE 7,(phase 5 pic),Phase7_Video.MP4,,,,4900.12001 P100 SHIM PACK,100,X900.SWR.901.A01,"OBTAIN  SPACER RETAINING THIN cod.191713A1 PLUS ONE SPACER RETAINER THICK cod.92203637 AND SNAP RING. ADD SHIMS BETWEEN THE SPACERS TO COMPLETE SHIMPACK. MEASURE ALL SHIM PACK (THIN, THICK + SHIMS) WITH MICROMETER. SET SHIM PACK OVER THE PINION SHAFT. USE THE FORK TOOL TO ASSEMBLE THE SHIM PACK",191713A1; 92203637; 191711A1; 191712A1,part_IMG_3074.png; part_IMG_3078.png; part_IMG_3081.png; part_IMG_3080.png; part_IMG_3074_1.png,"SPACER, RETAINER; RING, RETAINER, THICK; SHIM, BEVEL PINION BEARING .101; SHIM, BEVEL PINION BEARING .130"
8,PHASE 8,(phase 6 pic),Phase_8_Video.MP4,,,,4900.12001 P100 RING RETAINER,100,X900.SWR.901.A01,ASSEMBLE RING RETAINER ONTO PINION SHAFT AND CHECK THE RIGHT ASSEMBLY. THEN PRESS IT WITH PUNCH FIXTURE 3187.111.100.27.,92203637; 3187.111.100.27,part_IMG_3078.png; driver_3187_111_100_27.png,"RING, RETAINER, THICK; PUNCH FIXTURE cod.3187.111.100.27"
9,PHASE 9,(phase 7 pic); (phase 7 pic 2),Phase_9_Video.MP4,,,,4900.12001 P100 RING RETAINER CHECK,100,X900.SWR.901.A01,CHECK THE PRESENCE AND THE CORRECT ASSEMBLY OF RING RETAINER USING MITUTOYO MEASURING TOOL. IF THE DATA IS NOT CORRECT REMOVE SHIM FROM THE SHIM PACK,92203637,part_IMG_3078.png,"RING, RETAINER, THICK"
10,PHASE 10,(phase 9 pic),Phase10_Video.MP4,,,,4900.12001 P100 1 FREE ROLLING,100,X900.SWR.901.A01,FREE ROLLING FOR 20s,,,
