SN,Phase_ID,Phase_Rev,Phase_Number,ID_Acq,Description_Acq,min,max,Value_Acq,Status_Acq,Match with Drawing,Drawing Range
PCMRS0700115,600QTP130 BOLT ON DIFF CARRIER (GIUSTA),0,2,1,Bolts tightened,3,3,3,OK,,
PCMRS0700115,600QTP130 BOLT ON DIFF CARRIER (GIUSTA),0,2,2,BOLT 1: Angle [°],1,360,25,OK,,
PCMRS0700115,600QTP130 BOLT ON DIFF CARRIER (GIUSTA),0,2,3,BOLT 1: Torque [Nm],89,100,95.1,OK,OK,
PCMRS0700115,600QTP130 BOLT ON DIFF CARRIER (GIUSTA),0,2,4,BOLT 2: Angle [°],1,360,26,OK,,
PCMRS0700115,600QTP130 BOLT ON DIFF CARRIER (GIUSTA),0,2,5,BOLT 2: Torque [Nm],89,100,95.1,OK,OK,
PCMRS0700115,600QTP130 BOLT ON DIFF CARRIER (GIUSTA),0,2,6,BOLT 3: Angle [°],1,360,28,OK,,
PCMRS0700115,600QTP130 BOLT ON DIFF CARRIER (GIUSTA),0,2,7,BOLT 3: Torque [Nm],89,100,95.3,OK,OK,
PCMRS0700115,600QTP130_DIFF CARRIER HEIGHT,0,3,1,Value 1 [mm],0,0,0,OK,,
PCMRS0700115,600QTP130_DIFF CARRIER HEIGHT,0,3,2,Value 2 [mm],0,0,0,OK,,
PCMRS0700115,600QTP130_DIFF CARRIER HEIGHT,0,3,3,Value 3 [mm],0,0,0,OK,,
PCMRS0700115,600QTP130_DIFF CARRIER HEIGHT,0,3,4,[YCAP] Avarage [mm],0,0,0,OK,,
PCMRS0700115,600QTP130_DIFF CARRIER HEIGHT,0,3,5,Delta [mm] = ValMax - ValMin,0,0.5,0,OK,,
PCMRS0700115,600QTP130_BOLT ON BRAKE COVER,0,4,1,Bolts tightened,6,6,6,OK,,
PCMRS0700115,600QTP130_BOLT ON BRAKE COVER,0,4,2,BOLT 1: Angle [°],5,720,12,OK,,
PCMRS0700115,600QTP130_BOLT ON BRAKE COVER,0,4,3,BOLT 1: Torque [Nm],63,77,71.6,OK,NOT OK,146 - 165
PCMRS0700115,600QTP130_BOLT ON BRAKE COVER,0,4,4,BOLT 2: Angle [°],5,720,12,OK,,
PCMRS0700115,600QTP130_BOLT ON BRAKE COVER,0,4,5,BOLT 2: Torque [Nm],63,77,71.6,OK,NOT OK,146 - 165
PCMRS0700115,600QTP130_BOLT ON BRAKE COVER,0,4,6,BOLT 3: Angle [°],5,720,15,OK,,
PCMRS0700115,600QTP130_BOLT ON BRAKE COVER,0,4,7,BOLT 3: Torque [Nm],63,77,71.6,OK,NOT OK,146 - 165
PCMRS0700115,600QTP130_BOLT ON BRAKE COVER,0,4,8,BOLT 4: Angle [°],5,720,14,OK,,
PCMRS0700115,600QTP130_BOLT ON BRAKE COVER,0,4,9,BOLT 4: Torque [Nm],63,77,71.2,OK,NOT OK,146 - 165
PCMRS0700115,600QTP130_BOLT ON BRAKE COVER,0,4,10,BOLT 5: Angle [°],5,720,11,OK,,
PCMRS0700115,600QTP130_BOLT ON BRAKE COVER,0,4,11,BOLT 5: Torque [Nm],63,77,71.7,OK,NOT OK,146 - 165
PCMRS0700115,600QTP130_BOLT ON BRAKE COVER,0,4,12,BOLT 6: Angle [°],5,720,13,OK,,
PCMRS0700115,600QTP130_BOLT ON BRAKE COVER,0,4,13,BOLT 6: Torque [Nm],63,77,71.7,OK,NOT OK,146 - 165
PCMRS0700115,600QTP130_PRE LOAD,0,6,1,Bolts tightened,1,1,1,OK,,
PCMRS0700115,600QTP130_PRE LOAD,0,6,2,BOLT 1: Angle [°],0,0,0,OK,,
PCMRS0700115,600QTP130_PRE LOAD,0,6,3,BOLT 1: Torque [Nm],6,13.6,9.73,OK,OK,
PCMRS0700115,600QTP130_SHIM TOT,0,7,1,Value 1 [mm],-999,999,1.6,OK,,
PCMRS0700115,600QTP130_SHIM TOT,0,7,2,Value 2 [mm],-999,999,1.7,OK,,
PCMRS0700115,600QTP130_SHIM TOT,0,7,3,Value 3 [mm],-999,999,1.72,OK,,
PCMRS0700115,600QTP130_SHIM TOT,0,7,4,[AVG] Avarage - Cap [mm],-999,999,1.6733,OK,,
PCMRS0700115,600QTP130_SHIM TOT,0,7,5,Delta [mm] = ValMax - ValMin,0,0.5,0.12,OK,,
PCMRS0700115,600QTP130_BRAKE SHIM CHECK,0,9,1,Nominal Shim Thickness,-999,999,0.7245,OK,,
PCMRS0700115,600QTP130_BRAKE SHIM CHECK,0,9,2,[LH SHIMS] Actual Shim Thickness,-90,90,0.74,OK,,
PCMRS0700115,600QTP130_BRAKE CARRIER ON CENTER HOUSING,0,10,1,Bolts tightened,6,6,6,OK,,
PCMRS0700115,600QTP130_BRAKE CARRIER ON CENTER HOUSING,0,10,2,BOLT 1: Angle [°],5,720,12,OK,,
PCMRS0700115,600QTP130_BRAKE CARRIER ON CENTER HOUSING,0,10,3,BOLT 1: Torque [Nm],63,77,71.6,OK,OK,
PCMRS0700115,600QTP130_BRAKE CARRIER ON CENTER HOUSING,0,10,4,BOLT 2: Angle [°],5,720,11,OK,,
PCMRS0700115,600QTP130_BRAKE CARRIER ON CENTER HOUSING,0,10,5,BOLT 2: Torque [Nm],63,77,71.4,OK,OK,
PCMRS0700115,600QTP130_BRAKE CARRIER ON CENTER HOUSING,0,10,6,BOLT 3: Angle [°],5,720,13,OK,,
