SN,Phase_ID,Phase_Rev,Phase_Number,ID_Acq,Description_Acq,min,max,Value_Acq,Status_Acq,Match With Drawing,
PCMRS0700115,4900.20000 P140 BRAKE PISTON BORE,0,5,1,Bolts tightened,8,8,8,OK,,
PCMRS0700115,4900.20000 P140 BRAKE PISTON BORE,0,5,2,BOLT 1: Angle [°],10,120,23,OK,,
PCMRS0700115,4900.20000 P140 BRAKE PISTON BORE,0,5,3,BOLT 1: Torque [Nm],88.5,99.5,94.8,OK,OK,
PCMRS0700115,4900.20000 P140 BRAKE PISTON BORE,0,5,4,BOLT 2: Angle [°],10,120,23,OK,,
PCMRS0700115,4900.20000 P140 BRAKE PISTON BORE,0,5,5,BOLT 2: Torque [Nm],88.5,99.5,94.5,OK,OK,
PCMRS0700115,4900.20000 P140 BRAKE PISTON BORE,0,5,6,BOLT 3: Angle [°],10,120,28,OK,,
PCMRS0700115,4900.20000 P140 BRAKE PISTON BORE,0,5,7,BOLT 3: Torque [Nm],88.5,99.5,94.3,OK,OK,
PCMRS0700115,4900.20000 P140 BRAKE PISTON BORE,0,5,8,BOLT 4: Angle [°],10,120,27,OK,,
PCMRS0700115,4900.20000 P140 BRAKE PISTON BORE,0,5,9,BOLT 4: Torque [Nm],88.5,99.5,94.5,OK,OK,
PCMRS0700115,4900.20000 P140 BRAKE PISTON BORE,0,5,10,BOLT 5: Angle [°],10,120,27,OK,,
PCMRS0700115,4900.20000 P140 BRAKE PISTON BORE,0,5,11,BOLT 5: Torque [Nm],88.5,99.5,94.2,OK,OK,
PCMRS0700115,4900.20000 P140 BRAKE PISTON BORE,0,5,12,BOLT 6: Angle [°],10,120,28,OK,,
PCMRS0700115,4900.20000 P140 BRAKE PISTON BORE,0,5,13,BOLT 6: Torque [Nm],88.5,99.5,94.5,OK,OK,
PCMRS0700115,4900.20000 P140 BRAKE PISTON BORE,0,5,14,BOLT 7: Angle [°],10,120,20,OK,,
PCMRS0700115,4900.20000 P140 BRAKE PISTON BORE,0,5,15,BOLT 7: Torque [Nm],88.5,99.5,94.6,OK,OK,
PCMRS0700115,4900.20000 P140 BRAKE PISTON BORE,0,5,16,BOLT 8: Angle [°],10,120,26,OK,,
PCMRS0700115,4900.20000 P140 BRAKE PISTON BORE,0,5,17,BOLT 8: Torque [Nm],88.5,99.5,94.4,OK,OK,
PCMRS0700115,4900.20000 P140 SELF ADJUST 1,0,8,1,Force [N],0,0,808.39,OK,,
PCMRS0700115,4900.20000 P140 SELF ADJUST 1,0,8,2,Spacement [mm],0,0,62.56,OK,,
PCMRS0700115,4900.20000 P140 SELF ADJUST WASHER,0,9,1,Force [N],0,0,275.78,NOT OK,,
PCMRS0700115,4900.20000 P140 SELF ADJUST WASHER,0,9,2,Spacement [mm],0,0,55,NOT OK,,
PCMRS0700115,4900.20000 P140 SELF ADJUST WASHER,0,9,1,Force [N],0,0,147.76,NOT OK,,
PCMRS0700115,4900.20000 P140 SELF ADJUST WASHER,0,9,2,Spacement [mm],0,0,54.21,NOT OK,,
PCMRS0700115,4900.20000 P140 SELF ADJUST WASHER,0,9,1,Force [N],0,0,180.49,OK,,
PCMRS0700115,4900.20000 P140 SELF ADJUST WASHER,0,9,2,Spacement [mm],0,0,53.78,OK,,
PCMRS0700115,4900.20000 P140 SELF ADJUST 2,0,10,1,Force [N],0,0,918.3,NOT OK,,
PCMRS0700115,4900.20000 P140 SELF ADJUST 2,0,10,2,Spacement [mm],0,0,62.57,NOT OK,,
PCMRS0700115,4900.20000 P140 SELF ADJUST 2,0,10,1,Force [N],0,0,938.86,NOT OK,,
PCMRS0700115,4900.20000 P140 SELF ADJUST 2,0,10,2,Spacement [mm],0,0,62.57,NOT OK,,
PCMRS0700115,4900.20000 P140 SELF ADJUST 2,0,10,1,Force [N],0,0,1092.45,NOT OK,,
PCMRS0700115,4900.20000 P140 SELF ADJUST 2,0,10,2,Spacement [mm],0,0,62.65,NOT OK,,
PCMRS0700115,4900.20000 P140 SELF ADJUST 2,0,10,1,Force [N],0,0,899.98,OK,,
PCMRS0700115,4900.20000 P140 SELF ADJUST 2,0,10,2,Spacement [mm],0,0,62.61,OK,,
PCMRS0700115,4900.20000 P140 SELF ADJUST WASHER 2,0,11,1,Force [N],0,0,196.69,NOT OK,,
PCMRS0700115,4900.20000 P140 SELF ADJUST WASHER 2,0,11,2,Spacement [mm],0,0,54.6,NOT OK,,
PCMRS0700115,4900.20000 P140 SELF ADJUST WASHER 2,0,11,1,Force [N],0,0,158.49,OK,,
PCMRS0700115,4900.20000 P140 SELF ADJUST WASHER 2,0,11,2,Spacement [mm],0,0,53.77,OK,,
PCMRS0700115,4900.20000 P140 SELF ADJUST 3,0,12,1,Force,0,0,0,NOT OK,,
PCMRS0700115,4900.20000 P140 SELF ADJUST 3,0,12,2,Spacement,0,0,0,NOT OK,,
PCMRS0700115,4900.20000 P140 SELF ADJUST 3,0,12,1,Force [N],0,0,693.44,OK,,
PCMRS0700115,4900.20000 P140 SELF ADJUST 3,0,12,2,Spacement [mm],0,0,62.55,OK,,
PCMRS0700115,4900.20000 P140 SELF ADJUST WASHER 3,0,13,1,Force [N],0,0,187.64,NOT OK,,
PCMRS0700115,4900.20000 P140 SELF ADJUST WASHER 3,0,13,2,Spacement [mm],0,0,54.5,NOT OK,,
PCMRS0700115,4900.20000 P140 SELF ADJUST WASHER 3,0,13,1,Force [N],0,0,213.34,NOT OK,,
PCMRS0700115,4900.20000 P140 SELF ADJUST WASHER 3,0,13,2,Spacement [mm],0,0,54.05,NOT OK,,
PCMRS0700115,4900.20000 P140 SELF ADJUST WASHER 3,0,13,1,Force [N],0,0,200.6,NOT OK,,
PCMRS0700115,4900.20000 P140 SELF ADJUST WASHER 3,0,13,2,Spacement [mm],0,0,53.97,NOT OK,,
PCMRS0700115,4900.20000 P140 SELF ADJUST WASHER 3,0,13,1,Force [N],0,0,181.72,NOT OK,,
PCMRS0700115,4900.20000 P140 SELF ADJUST WASHER 3,0,13,2,Spacement [mm],0,0,53.27,NOT OK,,
PCMRS0700115,4900.20000 P140 SELF ADJUST WASHER 3,0,13,1,Force [N],0,0,143.18,OK,,
PCMRS0700115,4900.20000 P140 SELF ADJUST WASHER 3,0,13,2,Spacement [mm],0,0,53.65,OK,,
PCMRS0700115,4900.20000 P140 BRAKE FRICTION PLATE,0,14,1,Measure,0.8,2,0.93,OK,,
PCMRS0700115,4900.20000 P140 BOLTS ON RETAINING PLATE,0,19,1,Bolts tightened,24,24,24,OK,,
PCMRS0700115,4900.20000 P140 BOLTS ON RETAINING PLATE,0,19,2,BOLT 1: Angle [°],1,1000,823,OK,,
PCMRS0700115,4900.20000 P140 BOLTS ON RETAINING PLATE,0,19,3,BOLT 1: Torque [Nm],60,80,70.2,OK,Clarify,
PCMRS0700115,4900.20000 P140 BOLTS ON RETAINING PLATE,0,19,4,BOLT 2: Angle [°],1,1000,606,OK,,
PCMRS0700115,4900.20000 P140 BOLTS ON RETAINING PLATE,0,19,5,BOLT 2: Torque [Nm],60,80,70.1,OK,Clarify,
PCMRS0700115,4900.20000 P140 BOLTS ON RETAINING PLATE,0,19,6,BOLT 3: Angle [°],1,1000,943,OK,,
PCMRS0700115,4900.20000 P140 BOLTS ON RETAINING PLATE,0,19,7,BOLT 3: Torque [Nm],60,80,70.1,OK,Clarify,
PCMRS0700115,4900.20000 P140 BOLTS ON RETAINING PLATE,0,19,8,BOLT 4: Angle [°],1,1000,132,OK,,
PCMRS0700115,4900.20000 P140 BOLTS ON RETAINING PLATE,0,19,9,BOLT 4: Torque [Nm],60,80,70.2,OK,Clarify,
PCMRS0700115,4900.20000 P140 BOLTS ON RETAINING PLATE,0,19,10,BOLT 5: Angle [°],1,1000,33,OK,,
PCMRS0700115,4900.20000 P140 BOLTS ON RETAINING PLATE,0,19,11,BOLT 5: Torque [Nm],60,80,71.2,OK,Clarify,
PCMRS0700115,4900.20000 P140 BOLTS ON RETAINING PLATE,0,19,12,BOLT 6: Angle [°],1,360,35,OK,,
PCMRS0700115,4900.20000 P140 BOLTS ON RETAINING PLATE,0,19,13,BOLT 6: Torque [Nm],91,123,107.1,OK,OK,
PCMRS0700115,4900.20000 P140 BOLTS ON RETAINING PLATE,0,19,14,BOLT 7: Angle [°],1,360,35,OK,,
PCMRS0700115,4900.20000 P140 BOLTS ON RETAINING PLATE,0,19,15,BOLT 7: Torque [Nm],91,123,107.2,OK,OK,
PCMRS0700115,4900.20000 P140 BOLTS ON RETAINING PLATE,0,19,16,BOLT 8: Angle [°],1,360,32,OK,,
PCMRS0700115,4900.20000 P140 BOLTS ON RETAINING PLATE,0,19,17,BOLT 8: Torque [Nm],91,123,107.1,OK,OK,
PCMRS0700115,4900.20000 P140 BOLTS ON RETAINING PLATE,0,19,18,BOLT 9: Angle [°],1,360,32,OK,,
PCMRS0700115,4900.20000 P140 BOLTS ON RETAINING PLATE,0,19,19,BOLT 9: Torque [Nm],91,123,107.7,OK,OK,
PCMRS0700115,4900.20000 P140 BOLTS ON RETAINING PLATE,0,19,20,BOLT 10: Angle [°],1,360,29,OK,,
PCMRS0700115,4900.20000 P140 BOLTS ON RETAINING PLATE,0,19,21,BOLT 10: Torque [Nm],91,123,107.4,OK,OK,
PCMRS0700115,4900.20000 P140 BOLTS ON RETAINING PLATE,0,19,22,BOLT 11: Angle [°],1,1000,23,OK,,
PCMRS0700115,4900.20000 P140 BOLTS ON RETAINING PLATE,0,19,23,BOLT 11: Torque [Nm],60,80,75.8,OK,Clarify,
PCMRS0700115,4900.20000 P140 BOLTS ON RETAINING PLATE,0,19,24,BOLT 12: Angle [°],1,1000,27,OK,,
PCMRS0700115,4900.20000 P140 BOLTS ON RETAINING PLATE,0,19,25,BOLT 12: Torque [Nm],60,80,75.2,OK,Clarify,
PCMRS0700115,4900.20000 P140 BOLTS ON RETAINING PLATE,0,19,26,BOLT 13: Angle [°],1,1000,26,OK,,
PCMRS0700115,4900.20000 P140 BOLTS ON RETAINING PLATE,0,19,27,BOLT 13: Torque [Nm],60,80,75.2,OK,Clarify,
PCMRS0700115,4900.20000 P140 BOLTS ON RETAINING PLATE,0,19,28,BOLT 14: Angle [°],1,1000,28,OK,,
PCMRS0700115,4900.20000 P140 BOLTS ON RETAINING PLATE,0,19,29,BOLT 14: Torque [Nm],60,80,75.8,OK,Clarify,
PCMRS0700115,4900.20000 P140 BOLTS ON RETAINING PLATE,0,19,30,BOLT 15: Angle [°],1,1000,25,OK,,
PCMRS0700115,4900.20000 P140 BOLTS ON RETAINING PLATE,0,19,31,BOLT 15: Torque [Nm],60,80,75.1,OK,Clarify,
PCMRS0700115,4900.20000 P140 BOLTS ON RETAINING PLATE,0,19,32,BOLT 16: Angle [°],1,1000,24,OK,,
PCMRS0700115,4900.20000 P140 BOLTS ON RETAINING PLATE,0,19,33,BOLT 16: Torque [Nm],60,80,76.5,OK,Clarify,
PCMRS0700115,4900.20000 P140 BOLTS ON RETAINING PLATE,0,19,34,BOLT 17: Angle [°],1,1000,22,OK,,
PCMRS0700115,4900.20000 P140 BOLTS ON RETAINING PLATE,0,19,35,BOLT 17: Torque [Nm],60,80,71.8,OK,Clarify,
PCMRS0700115,4900.20000 P140 BOLTS ON RETAINING PLATE,0,19,36,BOLT 18: Angle [°],1,360,31,OK,,
PCMRS0700115,4900.20000 P140 BOLTS ON RETAINING PLATE,0,19,37,BOLT 18: Torque [Nm],91,123,107.4,OK,OK,
PCMRS0700115,4900.20000 P140 BOLTS ON RETAINING PLATE,0,19,38,BOLT 19: Angle [°],1,360,39,OK,OK,
PCMRS0700115,4900.20000 P140 BOLTS ON RETAINING PLATE,0,19,39,BOLT 19: Torque [Nm],91,123,107.3,OK,OK,
PCMRS0700115,4900.20000 P140 BOLTS ON RETAINING PLATE,0,19,40,BOLT 20: Angle [°],1,360,30,OK,OK,
PCMRS0700115,4900.20000 P140 BOLTS ON RETAINING PLATE,0,19,41,BOLT 20: Torque [Nm],91,123,107.3,OK,OK,
PCMRS0700115,4900.20000 P140 BOLTS ON RETAINING PLATE,0,19,42,BOLT 21: Angle [°],1,360,36,OK,,
PCMRS0700115,4900.20000 P140 BOLTS ON RETAINING PLATE,0,19,43,BOLT 21: Torque [Nm],91,123,107,OK,OK,
PCMRS0700115,4900.20000 P140 BOLTS ON RETAINING PLATE,0,19,44,BOLT 22: Angle [°],1,360,30,OK,,
PCMRS0700115,4900.20000 P140 BOLTS ON RETAINING PLATE,0,19,45,BOLT 22: Torque [Nm],91,123,107.3,OK,OK,
PCMRS0700115,4900.20000 P140 BOLTS ON RETAINING PLATE,0,19,46,BOLT 23: Angle [°],1,360,32,OK,,
PCMRS0700115,4900.20000 P140 BOLTS ON RETAINING PLATE,0,19,47,BOLT 23: Torque [Nm],91,123,107.3,OK,OK,
PCMRS0700115,4900.20000 P140 BOLTS ON RETAINING PLATE,0,19,48,BOLT 24: Angle [°],1,360,28,OK,,
PCMRS0700115,4900.20000 P140 BOLTS ON RETAINING PLATE,0,19,49,BOLT 24: Torque [Nm],91,123,107.5,OK,OK,
PCMRS0700115,4900.20000 P140 BOLTS ON HOUSING,0,22,1,Bolts tightened,18,18,18,OK,,
PCMRS0700115,4900.20000 P140 BOLTS ON HOUSING,0,22,2,BOLT 1: Angle [°],5,180,28,OK,,
PCMRS0700115,4900.20000 P140 BOLTS ON HOUSING,0,22,3,BOLT 1: Torque [Nm],146,166,156.3,OK,OK,165 Max Torque
PCMRS0700115,4900.20000 P140 BOLTS ON HOUSING,0,22,4,BOLT 2: Angle [°],5,180,27,OK,,165 Max Torque
PCMRS0700115,4900.20000 P140 BOLTS ON HOUSING,0,22,5,BOLT 2: Torque [Nm],146,166,157.4,OK,OK,165 Max Torque
PCMRS0700115,4900.20000 P140 BOLTS ON HOUSING,0,22,6,BOLT 3: Angle [°],5,180,31,OK,,165 Max Torque
PCMRS0700115,4900.20000 P140 BOLTS ON HOUSING,0,22,7,BOLT 3: Torque [Nm],146,166,156.9,OK,OK,165 Max Torque
PCMRS0700115,4900.20000 P140 BOLTS ON HOUSING,0,22,8,BOLT 4: Angle [°],5,180,32,OK,,165 Max Torque
PCMRS0700115,4900.20000 P140 BOLTS ON HOUSING,0,22,9,BOLT 4: Torque [Nm],146,166,157.2,OK,OK,165 Max Torque
PCMRS0700115,4900.20000 P140 BOLTS ON HOUSING,0,22,10,BOLT 5: Angle [°],5,180,33,OK,,165 Max Torque
PCMRS0700115,4900.20000 P140 BOLTS ON HOUSING,0,22,11,BOLT 5: Torque [Nm],146,166,157.2,OK,OK,165 Max Torque
PCMRS0700115,4900.20000 P140 BOLTS ON HOUSING,0,22,12,BOLT 6: Angle [°],5,180,33,OK,,165 Max Torque
PCMRS0700115,4900.20000 P140 BOLTS ON HOUSING,0,22,13,BOLT 6: Torque [Nm],146,166,156.7,OK,OK,165 Max Torque
PCMRS0700115,4900.20000 P140 BOLTS ON HOUSING,0,22,14,BOLT 7: Angle [°],5,180,34,OK,,165 Max Torque
PCMRS0700115,4900.20000 P140 BOLTS ON HOUSING,0,22,15,BOLT 7: Torque [Nm],146,166,156.8,OK,OK,165 Max Torque
PCMRS0700115,4900.20000 P140 BOLTS ON HOUSING,0,22,16,BOLT 8: Angle [°],5,180,32,OK,,165 Max Torque
PCMRS0700115,4900.20000 P140 BOLTS ON HOUSING,0,22,17,BOLT 8: Torque [Nm],146,166,157.3,OK,OK,165 Max Torque
PCMRS0700115,4900.20000 P140 BOLTS ON HOUSING,0,22,18,BOLT 9: Angle [°],5,180,34,OK,,165 Max Torque
PCMRS0700115,4900.20000 P140 BOLTS ON HOUSING,0,22,19,BOLT 9: Torque [Nm],146,166,156.1,OK,OK,165 Max Torque
PCMRS0700115,4900.20000 P140 BOLTS ON HOUSING,0,22,20,BOLT 10: Angle [°],5,180,31,OK,,165 Max Torque
PCMRS0700115,4900.20000 P140 BOLTS ON HOUSING,0,22,21,BOLT 10: Torque [Nm],146,166,157,OK,OK,165 Max Torque
PCMRS0700115,4900.20000 P140 BOLTS ON HOUSING,0,22,22,BOLT 11: Angle [°],5,180,33,OK,,165 Max Torque
PCMRS0700115,4900.20000 P140 BOLTS ON HOUSING,0,22,23,BOLT 11: Torque [Nm],146,166,156.6,OK,OK,165 Max Torque
