SN,Phase_ID,Phase_Rev,Phase_Number,ID_Acq,Description_Acq,min,max,Value_Acq,Status_Acq,Match with Drawing,Range in Drawing
PCMRS0700115,4900.11004 P150 BOLT ON CLIP,0,4,1,Bolts tightened,1,1,1,OK,,
PCMRS0700115,4900.11004 P150 BOLT ON CLIP,0,4,2,BOLT 1: Angle [°],1,360,80,OK,,
PCMRS0700115,4900.11004 P150 BOLT ON CLIP,0,4,3,BOLT 1: Torque [Nm],23,32,28.5,OK,OK,25.6 - 34.6
PCMRS0700115,4900.11004 P150 TUBE NUT ONTO ELBOW,0,5,1,Bolts tightened,1,1,1,OK,,
PCMRS0700115,4900.11004 P150 TUBE NUT ONTO ELBOW,0,5,2,BOLT 1: Angle [°],0,360,130,OK,,
PCMRS0700115,4900.11004 P150 TUBE NUT ONTO ELBOW,0,5,3,BOLT 1: Torque [Nm],14,17,15.6,OK,NOT OK,14 - 15.4
PCMRS0700115,4900.11004 P150 ELBOW INTO COVER,0,6,1,Bolts tightened,1,1,1,OK,,
PCMRS0700115,4900.11004 P150 ELBOW INTO COVER,0,6,2,BOLT 1: Angle [°],1,360,78,OK,,
PCMRS0700115,4900.11004 P150 ELBOW INTO COVER,0,6,3,BOLT 1: Torque [Nm],45,49,46.1,OK,OK,45 - 49.5
PCMRS0700115,4900.11004 P150 BOLTS ON MANIFOLD,0,9,1,Bolts tightened,3,3,3,OK,,
PCMRS0700115,4900.11004 P150 BOLTS ON MANIFOLD,0,9,2,BOLT 1: Angle [°],1,360,46,OK,,
PCMRS0700115,4900.11004 P150 BOLTS ON MANIFOLD,0,9,3,BOLT 1: Torque [Nm],46,62,54.1,OK,OK,
PCMRS0700115,4900.11004 P150 BOLTS ON MANIFOLD,0,9,4,BOLT 2: Angle [°],1,360,39,OK,,
PCMRS0700115,4900.11004 P150 BOLTS ON MANIFOLD,0,9,5,BOLT 2: Torque [Nm],46,62,54.6,OK,OK,
PCMRS0700115,4900.11004 P150 BOLTS ON MANIFOLD,0,9,6,BOLT 3: Angle [°],1,360,42,OK,,
PCMRS0700115,4900.11004 P150 BOLTS ON MANIFOLD,0,9,7,BOLT 3: Torque [Nm],46,62,54.1,OK,OK,
PCMRS0700115,4900.11004 P150 PINION COVER ON HOUSING,0,10,1,Bolts tightened,8,8,8,OK,,
PCMRS0700115,4900.11004 P150 PINION COVER ON HOUSING,0,10,2,BOLT 1: Angle [°],10,180,81,OK,,
PCMRS0700115,4900.11004 P150 PINION COVER ON HOUSING,0,10,3,BOLT 1: Torque [Nm],284,311,298.6,OK,OK,
PCMRS0700115,4900.11004 P150 PINION COVER ON HOUSING,0,10,4,BOLT 2: Angle [°],10,180,52,OK,,
PCMRS0700115,4900.11004 P150 PINION COVER ON HOUSING,0,10,5,BOLT 2: Torque [Nm],284,311,298.7,OK,OK,
PCMRS0700115,4900.11004 P150 PINION COVER ON HOUSING,0,10,6,BOLT 3: Angle [°],10,180,45,OK,,
PCMRS0700115,4900.11004 P150 PINION COVER ON HOUSING,0,10,7,BOLT 3: Torque [Nm],284,311,297.9,OK,OK,
PCMRS0700115,4900.11004 P150 PINION COVER ON HOUSING,0,10,8,BOLT 4: Angle [°],10,180,42,OK,,
PCMRS0700115,4900.11004 P150 PINION COVER ON HOUSING,0,10,9,BOLT 4: Torque [Nm],284,311,299.1,OK,OK,
PCMRS0700115,4900.11004 P150 PINION COVER ON HOUSING,0,10,10,BOLT 5: Angle [°],10,180,43,OK,,
PCMRS0700115,4900.11004 P150 PINION COVER ON HOUSING,0,10,11,BOLT 5: Torque [Nm],284,311,299.1,OK,OK,
PCMRS0700115,4900.11004 P150 PINION COVER ON HOUSING,0,10,12,BOLT 6: Angle [°],10,180,42,OK,,
PCMRS0700115,4900.11004 P150 PINION COVER ON HOUSING,0,10,13,BOLT 6: Torque [Nm],284,311,298.6,OK,OK,
PCMRS0700115,4900.11004 P150 PINION COVER ON HOUSING,0,10,14,BOLT 7: Angle [°],10,180,40,OK,,
PCMRS0700115,4900.11004 P150 PINION COVER ON HOUSING,0,10,15,BOLT 7: Torque [Nm],284,311,298.3,OK,OK,
PCMRS0700115,4900.11004 P150 PINION COVER ON HOUSING,0,10,16,BOLT 8: Angle [°],10,180,46,OK,,
PCMRS0700115,4900.11004 P150 PINION COVER ON HOUSING,0,10,17,BOLT 8: Torque [Nm],284,311,298,OK,OK,
PCMRS0700115,4900.11004 P150 M27X2,0,15,1,Bolts tightened,1,1,1,OK,,
PCMRS0700115,4900.11004 P150 M27X2,0,15,2,BOLT 1: Angle [°],1,360,12,OK,,
PCMRS0700115,4900.11004 P150 M27X2,0,15,3,BOLT 1: Torque [Nm],100,110,105.4,OK,NOT OK,170 -187
PCMRS0700115,4900.11004 P150 END YOKE BACKLASH,0,16,1,Bolts tightened,2,2,2,OK,,
PCMRS0700115,4900.11004 P150 END YOKE BACKLASH,0,16,2,BOLT 1: Angle [°],1,360,13,OK,,
PCMRS0700115,4900.11004 P150 END YOKE BACKLASH,0,16,3,BOLT 1: Torque [Nm],90,110,101,OK,NOT OK,377.6 - 677.9
PCMRS0700115,4900.11004 P150 END YOKE BACKLASH,0,16,4,BOLT 2: Angle [°],3950,4000,3960,OK,,
PCMRS0700115,4900.11004 P150 END YOKE BACKLASH,0,16,5,BOLT 2: Torque [Nm],0,150,7.3,OK,OK,
PCMRS0700115,4900.11004 P150 FLANGE END-YOKE,0,17,1,Value 1 [mm],-999,999,0.82,OK,,
PCMRS0700115,4900.11004 P150 FLANGE END-YOKE,0,17,2,Value 2 [mm],-999,999,0.77,OK,,
PCMRS0700115,4900.11004 P150 FLANGE END-YOKE,0,17,3,Value 3 [mm],-999,999,0.86,OK,,
PCMRS0700115,4900.11004 P150 FLANGE END-YOKE,0,17,4,Average [mm],-999,999,0.8167,OK,,
PCMRS0700115,4900.11004 P150 FLANGE END-YOKE,0,17,5,[IDEAL SH] Required Shim Thickness [mm],-999,999,0.8167,OK,,
PCMRS0700115,4900.11004 P150 SHIM CHECK,0,18,1,Shim Thickness [mm],0.6897,0.7467,0.712,OK,,
PCMRS0700115,4900.11004 P150 BOLT ON PINION,0,19,1,Bolts tightened,1,1,1,OK,,
PCMRS0700115,4900.11004 P150 BOLT ON PINION,0,19,2,BOLT 1: Angle [°],1,150,36,OK,,
PCMRS0700115,4900.11004 P150 BOLT ON PINION,0,19,3,BOLT 1: Torque [Nm],377,600,527.6,OK,OK,377.6 - 677.9
PCMRS0700115,4900.11004 P150 DIFF FREE 1 SCREW,0,21,1,Bolts tightened,1,1,1,OK,,
PCMRS0700115,4900.11004 P150 DIFF FREE 1 SCREW,0,21,2,BOLT 1: Angle [°],0,3650,1800,OK,,
PCMRS0700115,4900.11004 P150 DIFF FREE 1 SCREW,0,21,3,BOLT 1: Torque [Nm],0,75,25.8,OK,OK,
PCMRS0700115,4900.11004 P150 DIFF BLOCK SCREW,0,24,1,Bolts tightened,1,1,1,OK,,
PCMRS0700115,4900.11004 P150 DIFF BLOCK SCREW,0,24,2,BOLT 1: Angle [°],0,20,1,OK,,
PCMRS0700115,4900.11004 P150 DIFF BLOCK SCREW,0,24,3,BOLT 1: Torque [Nm],5,200,53.6,OK,OK,
PCMRS0700115,4900.11004 P150 DIFF FREE 2 SCREW,0,27,1,Bolts tightened,1,1,1,OK,,
PCMRS0700115,4900.11004 P150 DIFF FREE 2 SCREW,0,27,2,BOLT 1: Angle [°],0,3650,1800,OK,,
PCMRS0700115,4900.11004 P150 DIFF FREE 2 SCREW,0,27,3,BOLT 1: Torque [Nm],0,75,23.9,OK,OK,
PCMRS0700115,4900.11004 P150 NEGATIVE BRAKE,0,29,1,Charged pressure [bar],28,30,0,NOT OK,,
PCMRS0700115,4900.11004 P150 NEGATIVE BRAKE,0,29,2,Final pressure [bar],27.3,30,0,NOT OK,,
PCMRS0700115,4900.11004 P150 NEGATIVE BRAKE,0,29,3,Recorded decline [bar],0,1.7,0,OK,,
PCMRS0700115,4900.11004 P150 NEGATIVE BRAKE TEST,0,30,1,Charged pressure [bar],28,30,29,OK,,
PCMRS0700115,4900.11004 P150 NEGATIVE BRAKE TEST,0,30,2,Final pressure [bar],26.3,30,28,OK,,
PCMRS0700115,4900.11004 P150 NEGATIVE BRAKE TEST,0,30,3,Recorded decline [bar],0,1.7,0.9,OK,,
PCMRS0700115,4900.11004 P150 POSITIVE BRAKE TEST,0,32,1,Charged pressure [bar],33,35,33.8,OK,,
PCMRS0700115,4900.11004 P150 POSITIVE BRAKE TEST,0,32,2,Final pressure [bar],31.3,35,32.8,OK,,
PCMRS0700115,4900.11004 P150 POSITIVE BRAKE TEST,0,32,3,Recorded decline [bar],0,1.7,1,OK,,
PCMRS0700115,4900.11004 P150 DIFFERENTIAL LOCK LEAK TEST,0,34,1,Charged pressure [bar],33,35,33.9,OK,,
PCMRS0700115,4900.11004 P150 DIFFERENTIAL LOCK LEAK TEST,0,34,2,Final pressure [bar],18,35,30.7,OK,,
PCMRS0700115,4900.11004 P150 DIFFERENTIAL LOCK LEAK TEST,0,34,3,Recorded decline [bar],0,15,3.2,OK,,
PCMRS0700115,4900.11004 P150 M18X1.5,0,35,1,Bolts tightened,1,1,1,OK,,
PCMRS0700115,4900.11004 P150 M18X1.5,0,35,2,BOLT 1: Angle [°],1,360,9,OK,,
PCMRS0700115,4900.11004 P150 M18X1.5,0,35,3,BOLT 1: Torque [Nm],70,77,73.7,OK,OK,
PCMRS0700115,4900.11004 P150 M18X1.5 ON PINION COVER,0,36,1,Bolts tightened,1,1,1,OK,,
PCMRS0700115,4900.11004 P150 M18X1.5 ON PINION COVER,0,36,2,BOLT 1: Angle [°],1,360,10,OK,,
PCMRS0700115,4900.11004 P150 M18X1.5 ON PINION COVER,0,36,3,BOLT 1: Torque [Nm],70,77,71.5,OK,OK,
PCMRS0700115,4900.11004 P150 M22X1.5 - 1,0,37,1,Bolts tightened,1,1,1,OK,,
PCMRS0700115,4900.11004 P150 M22X1.5 - 1,0,37,2,BOLT 1: Angle [°],1,360,11,OK,,
PCMRS0700115,4900.11004 P150 M22X1.5 - 1,0,37,3,BOLT 1: Torque [Nm],100,110,103,OK,OK,
PCMRS0700115,4900.11004 P150 M22X1.5 - 2,0,38,1,Bolts tightened,1,1,1,OK,,
PCMRS0700115,4900.11004 P150 M22X1.5 - 2,0,38,2,BOLT 1: Angle [°],1,360,11,OK,,
PCMRS0700115,4900.11004 P150 M22X1.5 - 2,0,38,3,BOLT 1: Torque [Nm],100,110,109.5,OK,OK,
PCMRS0700115,4900.11004 P150 M22X1.5 - 3,0,39,1,Bolts tightened,1,1,1,OK,,
PCMRS0700115,4900.11004 P150 M22X1.5 - 3,0,39,2,BOLT 1: Angle [°],1,360,12,OK,,
PCMRS0700115,4900.11004 P150 M22X1.5 - 3,0,39,3,BOLT 1: Torque [Nm],100,110,101.6,OK,OK,
PCMRS0700115,4900.11004 P150 M22X1.5 - 4,0,40,1,Bolts tightened,1,1,1,OK,,
PCMRS0700115,4900.11004 P150 M22X1.5 - 4,0,40,2,BOLT 1: Angle [°],1,360,12,OK,,
PCMRS0700115,4900.11004 P150 M22X1.5 - 4,0,40,3,BOLT 1: Torque [Nm],100,110,103.2,OK,OK,
PCMRS0700115,4900.11004 P150 M22X1.5 - 5,0,41,1,Bolts tightened,1,1,1,OK,,
PCMRS0700115,4900.11004 P150 M22X1.5 - 5,0,41,2,BOLT 1: Angle [°],1,360,13,OK,,
PCMRS0700115,4900.11004 P150 M22X1.5 - 5,0,41,3,BOLT 1: Torque [Nm],100,110,104,OK,OK,
PCMRS0700115,4900.11004 P150 M22X1.5 - 6,0,42,1,Bolts tightened,1,1,1,OK,,
