SN,Phase_ID,Phase_Rev,Phase_Number,ID_Acq,Description_Acq,min,max,Value_Acq,Status_Acq,Match with Drawing,Drawing Range
PCMRS0700115,4900.13002 P200 RIVETER,0,1,1,"Result [0 = NOK, 1 = OK]",1,1,0,NOT OK,,
PCMRS0700115,4900.13002 P200 RIVETER,0,1,1,Rivet,1,1,1,OK,,
PCMRS0700115,4900.13002 P200 RIVETER 1,0,2,1,Rivet,1,1,1,OK,,
PCMRS0700115,4900.13002 P200 RIVETER 2,0,3,1,Rivet,1,1,1,OK,,
PCMRS0700115,4900.13002 P200 BEARING CUP,0,4,1,Final force [Kg],4500,8000,5385,OK,,
PCMRS0700115,4900.13002 P200 BEARING CUP,0,4,2,Final position [mm],250,300,276,OK,,
PCMRS0700115,4900.13002 P200 CUP ON DIFF COVER,0,7,1,Final force [Kg],6000,8000,6856.39,OK,,
PCMRS0700115,4900.13002 P200 CUP ON DIFF COVER,0,7,2,Final position [mm],350,520,409,OK,,
PCMRS0700115,4900.13002 P220 THRUST WASHER,0,2,1,Measurement [mm],130,135,134.03,OK,,
PCMRS0700115,4900.13002 P220 DIFF BOLTS,0,6,1,Bolts tightened,2,2,2,OK,,
PCMRS0700115,4900.13002 P220 DIFF BOLTS,0,6,2,BOLT 1: Angle [°],1,360,54,OK,,
PCMRS0700115,4900.13002 P220 DIFF BOLTS,0,6,3,BOLT 1: Torque [Nm],46,62,54.4,OK,OK,
PCMRS0700115,4900.13002 P220 DIFF BOLTS,0,6,4,BOLT 2: Angle [°],1,360,36,OK,,
PCMRS0700115,4900.13002 P220 DIFF BOLTS,0,6,5,BOLT 2: Torque [Nm],46,62,54.4,OK,OK,
PCMRS0700115,4900.13002 P220 FRICTION PLATES HEIGHT CHECK,0,8,1,Measure [mm],0.1,0.4,99,NOT OK,,
PCMRS0700115,4900.13002 P220 FRICTION PLATES HEIGHT CHECK,0,8,1,Measure [mm],0.1,0.4,99,NOT OK,,
PCMRS0700115,4900.13002 P220 FRICTION PLATES HEIGHT CHECK,0,8,1,Measure [mm],0.1,0.4,0.3,OK,,
PCMRS0700115,4900.13002 P220 THRUST WASHER CHECK,0,10,1,Measure [mm],0,0.25,0.03,OK,,
PCMRS0700115,4900.13002 P220 DIFF COVER,0,11,1,Bolts tightened,24,24,24,OK,,
PCMRS0700115,4900.13002 P220 DIFF COVER,0,11,2,BOLT 1: Angle [°],8,14,11,OK,,
PCMRS0700115,4900.13002 P220 DIFF COVER,0,11,3,BOLT 1: Torque [Ft-lb],100,350,298.5,OK,Clarify,120 and then additional 90
PCMRS0700115,4900.13002 P220 DIFF COVER,0,11,4,BOLT 2: Angle [°],8,14,11,OK,,
PCMRS0700115,4900.13002 P220 DIFF COVER,0,11,5,BOLT 2: Torque [Ft-lb],100,350,276.5,OK,Clarify,120 and then additional 90
PCMRS0700115,4900.13002 P220 DIFF COVER,0,11,6,BOLT 3: Angle [°],8,14,11,OK,,
PCMRS0700115,4900.13002 P220 DIFF COVER,0,11,7,BOLT 3: Torque [Ft-lb],100,350,300.5,OK,Clarify,120 and then additional 90
PCMRS0700115,4900.13002 P220 DIFF COVER,0,11,8,BOLT 4: Angle [°],8,14,11,OK,,
PCMRS0700115,4900.13002 P220 DIFF COVER,0,11,9,BOLT 4: Torque [Ft-lb],100,350,302.3,OK,Clarify,120 and then additional 90
PCMRS0700115,4900.13002 P220 DIFF COVER,0,11,10,BOLT 5: Angle [°],8,14,11,OK,,
PCMRS0700115,4900.13002 P220 DIFF COVER,0,11,11,BOLT 5: Torque [Ft-lb],100,350,289,OK,Clarify,120 and then additional 90
PCMRS0700115,4900.13002 P220 DIFF COVER,0,11,12,BOLT 6: Angle [°],8,14,11,OK,,
PCMRS0700115,4900.13002 P220 DIFF COVER,0,11,13,BOLT 6: Torque [Ft-lb],100,350,289.6,OK,Clarify,120 and then additional 90
PCMRS0700115,4900.13002 P220 DIFF COVER,0,11,14,BOLT 7: Angle [°],8,14,11,OK,,
PCMRS0700115,4900.13002 P220 DIFF COVER,0,11,15,BOLT 7: Torque [Ft-lb],100,350,297.9,OK,Clarify,120 and then additional 90
PCMRS0700115,4900.13002 P220 DIFF COVER,0,11,16,BOLT 8: Angle [°],8,14,11,OK,,
PCMRS0700115,4900.13002 P220 DIFF COVER,0,11,17,BOLT 8: Torque [Ft-lb],100,350,299,OK,Clarify,120 and then additional 90
PCMRS0700115,4900.13002 P220 DIFF COVER,0,11,18,BOLT 9: Angle [°],8,14,11,OK,,
PCMRS0700115,4900.13002 P220 DIFF COVER,0,11,19,BOLT 9: Torque [Ft-lb],100,350,299.8,OK,Clarify,120 and then additional 90
PCMRS0700115,4900.13002 P220 DIFF COVER,0,11,20,BOLT 10: Angle [°],8,14,11,OK,,
PCMRS0700115,4900.13002 P220 DIFF COVER,0,11,21,BOLT 10: Torque [Ft-lb],100,350,284.4,OK,Clarify,120 and then additional 90
PCMRS0700115,4900.13002 P220 DIFF COVER,0,11,22,BOLT 11: Angle [°],8,14,11,OK,,
PCMRS0700115,4900.13002 P220 DIFF COVER,0,11,23,BOLT 11: Torque [Ft-lb],100,350,306.1,OK,Clarify,120 and then additional 90
PCMRS0700115,4900.13002 P220 DIFF COVER,0,11,24,BOLT 12: Angle [°],8,14,11,OK,,
PCMRS0700115,4900.13002 P220 DIFF COVER,0,11,25,BOLT 12: Torque [Ft-lb],100,350,278.9,OK,Clarify,120 and then additional 90
PCMRS0700115,4900.13002 P220 DIFF COVER,0,11,26,BOLT 13: Angle [°],8,14,11,OK,,
PCMRS0700115,4900.13002 P220 DIFF COVER,0,11,27,BOLT 13: Torque [Ft-lb],100,350,301.1,OK,Clarify,120 and then additional 90
PCMRS0700115,4900.13002 P220 DIFF COVER,0,11,28,BOLT 14: Angle [°],8,14,11,OK,,
PCMRS0700115,4900.13002 P220 DIFF COVER,0,11,29,BOLT 14: Torque [Ft-lb],100,350,268.1,OK,Clarify,120 and then additional 90
PCMRS0700115,4900.13002 P220 DIFF COVER,0,11,30,BOLT 15: Angle [°],8,14,11,OK,,
PCMRS0700115,4900.13002 P220 DIFF COVER,0,11,31,BOLT 15: Torque [Ft-lb],100,350,298.6,OK,Clarify,120 and then additional 90
PCMRS0700115,4900.13002 P220 DIFF COVER,0,11,32,BOLT 16: Angle [°],8,14,11,OK,,
PCMRS0700115,4900.13002 P220 DIFF COVER,0,11,33,BOLT 16: Torque [Ft-lb],100,350,259.5,OK,Clarify,120 and then additional 90
PCMRS0700115,4900.13002 P220 DIFF COVER,0,11,34,BOLT 17: Angle [°],8,14,11,OK,,
PCMRS0700115,4900.13002 P220 DIFF COVER,0,11,35,BOLT 17: Torque [Ft-lb],100,350,290.2,OK,Clarify,120 and then additional 90
