SN,Phase_ID,Phase_Rev,Phase_Number,ID_Acq,Description_Acq,min,max,Value_Acq,Status_Acq
PCMRS0700115,4900.92001 P300 SMALL GEAR BEARING CUP,0,3,1,Final force [Kg],1000,8000,0,NOT OK
PCMRS0700115,4900.92001 P300 SMALL GEAR BEARING CUP,0,3,2,Final position [mm],400,750,0,NOT OK
PCMRS0700115,4900.92001 P300 BIG GEAR BEARING CUP,0,4,1,Final force [Kg],5000,8500,0,NOT OK
PCMRS0700115,4900.92001 P300 BIG GEAR BEARING CUP,0,4,2,Final position [mm],300,700,0,NOT OK
PCMRS0700115,4900.92001 P300 BEARING CONE PRESS,0,5,1,Final force [Kg],5000,8000,0,NOT OK
PCMRS0700115,4900.92001 P300 BEARING CONE PRESS,0,5,2,Final position [mm],300,700,0,NOT OK
PCMRS0700115,4900.92001 P300 BEARING CUP PRESS1,0,7,1,Final force [Kg],1000,8500,0,NOT OK
PCMRS0700115,4900.92001 P300 BEARING CUP PRESS1,0,7,2,Final position [mm],300,700,0,NOT OK
PCMRS0700115,4900.92001 P300 BACKLASH,0,9,1,Value Acq. [mm],-0.05,0.05,0,OK
PCMRS0700115,4900.92001 P300 BIG BEARING CONE,0,11,1,Final force [Kg],5000,8000,0,NOT OK
PCMRS0700115,4900.92001 P300 BIG BEARING CONE,0,11,2,Final position [mm],300,700,0,NOT OK
PCMRS0700115,4900.92001 P300 BIG BEARING CUP,0,13,1,Final force [Kg],5000,8000,0,NOT OK
PCMRS0700115,4900.92001 P300 BIG BEARING CUP,0,13,2,Final position [mm],300,700,0,NOT OK
PCMRS0700115,4900.92001 P300 BACKLASH 1,0,15,1,Value Acq. [mm],-0.05,0.05,0,OK
PCMRS0700115,4900.92001 P300 PIN,0,18,1,Mesaure,10.5,11.5,0,NOT OK
PCMRS0700115,4900.92001 P300 SMALL GEAR BEARING CUP,1,3,1,Final force [Kg],1000,8000,0,NOT OK
PCMRS0700115,4900.92001 P300 SMALL GEAR BEARING CUP,1,3,2,Final position [mm],400,750,0,NOT OK
PCMRS0700115,4900.92001 P300 BIG GEAR BEARING CUP,1,4,1,Final force [Kg],5000,8500,0,NOT OK
PCMRS0700115,4900.92001 P300 BIG GEAR BEARING CUP,1,4,2,Final position [mm],300,700,0,NOT OK
PCMRS0700115,4900.92001 P300 BEARING CONE PRESS,1,5,1,Final force [Kg],5000,8000,0,NOT OK
PCMRS0700115,4900.92001 P300 BEARING CONE PRESS,1,5,2,Final position [mm],300,700,0,NOT OK
PCMRS0700115,4900.92001 P300 BEARING CUP PRESS1,1,7,1,Final force [Kg],1000,8500,0,NOT OK
PCMRS0700115,4900.92001 P300 BEARING CUP PRESS1,1,7,2,Final position [mm],300,700,0,NOT OK
PCMRS0700115,4900.92001 P300 BACKLASH,1,9,1,Value Acq. [mm],-0.05,0.05,0,OK
PCMRS0700115,4900.92001 P300 BIG BEARING CONE,1,11,1,Final force [Kg],5000,8000,0,NOT OK
PCMRS0700115,4900.92001 P300 BIG BEARING CONE,1,11,2,Final position [mm],300,700,0,NOT OK
PCMRS0700115,4900.92001 P300 BIG BEARING CUP,1,13,1,Final force [Kg],5000,8000,0,NOT OK
PCMRS0700115,4900.92001 P300 BIG BEARING CUP,1,13,2,Final position [mm],300,700,0,NOT OK
PCMRS0700115,4900.92001 P300 BACKLASH 1,1,15,1,Value Acq. [mm],-0.05,0.05,0,OK
PCMRS0700115,4900.92001 P300 PIN,1,18,1,Mesaure,10.5,11.5,0,NOT OK
