SN,Phase_ID,Phase_Rev,Phase_Number,ID_Acq,Description_Acq,min,max,Value_Acq,Status_Acq,Match with Drawing,Drawing Range
PCMRS0700115,4900.92010 P500 CONE BEARING ONTO SHAFT,0,2,1,Final force [Kg],21500,23500,21569,OK,,
PCMRS0700115,4900.92010 P500 CONE BEARING ONTO SHAFT,0,2,2,Final position [mm],90,140,111,OK,,
PCMRS0700115,4900.92010 P510 CUP BEARING,0,2,1,Final force [Kg],18000,23000,0,NOT OK,,
PCMRS0700115,4900.92010 P510 CUP BEARING,0,2,2,Final position [mm],200,500,0,NOT OK,,
PCMRS0700115,4900.92010 P510 CUP BEARING,0,2,1,Final force [Kg],18000,23000,19743.26,OK,,
PCMRS0700115,4900.92010 P510 CUP BEARING,0,2,2,Final position [mm],200,500,254,OK,,
PCMRS0700115,4900.92010 P520 NUT TIGHTEN,0,2,1,Initial rolling torque (dualcone) [Nm],13,19,0,NOT OK,,
PCMRS0700115,4900.92010 P520 NUT TIGHTEN,0,2,2,Final rolling torque [Nm],24,31,0,NOT OK,,
PCMRS0700115,4900.92010 P520 NUT TIGHTEN,0,2,3,Number of attempts,1,18,0,NOT OK,,
PCMRS0700115,4900.92010 P500 CONE BEARING ONTO SHAFT,1,2,1,Final force [Kg],21500,23500,0,NOT OK,,
PCMRS0700115,4900.92010 P500 CONE BEARING ONTO SHAFT,1,2,2,Final position [mm],90,140,0,NOT OK,,
PCMRS0700115,4900.92010 P520 NUT TIGHTEN,0,2,1,Initial rolling torque (dualcone) [Nm],13,19,12.9,NOT OK,,
PCMRS0700115,4900.92010 P520 NUT TIGHTEN,0,2,2,Final rolling torque [Nm],24,31,12.9,NOT OK,,
PCMRS0700115,4900.92010 P520 NUT TIGHTEN,0,2,3,Number of attempts,1,18,0,NOT OK,,
PCMRS0700115,4900.92010 P500 CONE BEARING ONTO SHAFT,1,2,1,Final force [Kg],21500,23500,21499,NOT OK,,
PCMRS0700115,4900.92010 P500 CONE BEARING ONTO SHAFT,1,2,2,Final position [mm],90,140,111,OK,,
PCMRS0700115,4900.92010 P500 CONE BEARING ONTO SHAFT,1,2,1,Final force [Kg],21500,23500,21499,NOT OK,,
PCMRS0700115,4900.92010 P500 CONE BEARING ONTO SHAFT,1,2,2,Final position [mm],90,140,111,OK,,
PCMRS0700115,4900.92010 P500 CONE BEARING ONTO SHAFT,1,2,1,Final force [Kg],21500,23500,21447,NOT OK,,
PCMRS0700115,4900.92010 P500 CONE BEARING ONTO SHAFT,1,2,2,Final position [mm],90,140,111,OK,,
PCMRS0700115,4900.92010 P500 CONE BEARING ONTO SHAFT,1,2,1,Final force [Kg],21500,23500,21460,NOT OK,,
PCMRS0700115,4900.92010 P500 CONE BEARING ONTO SHAFT,1,2,2,Final position [mm],90,140,111,OK,,
PCMRS0700115,4900.92010 P500 CONE BEARING ONTO SHAFT,1,2,1,Final force [Kg],21500,23500,21394,NOT OK,,
PCMRS0700115,4900.92010 P500 CONE BEARING ONTO SHAFT,1,2,2,Final position [mm],90,140,111,OK,,
PCMRS0700115,4900.92010 P500 CONE BEARING ONTO SHAFT,2,2,1,Final force [Kg],20000,23500,21381,OK,,
PCMRS0700115,4900.92010 P500 CONE BEARING ONTO SHAFT,2,2,2,Final position [mm],90,140,111,OK,,
PCMRS0700115,4900.92010 P510 CUP BEARING,1,2,1,Final force [Kg],18000,23000,0,NOT OK,,
PCMRS0700115,4900.92010 P510 CUP BEARING,1,2,2,Final position [mm],200,500,0,NOT OK,,
PCMRS0700115,4900.92010 P510 CUP BEARING,1,2,1,Final force [Kg],18000,23000,0,NOT OK,,
PCMRS0700115,4900.92010 P510 CUP BEARING,1,2,2,Final position [mm],200,500,0,NOT OK,,
PCMRS0700115,4900.92010 P510 CUP BEARING,1,2,1,Final force [Kg],18000,23000,19756.39,OK,,
PCMRS0700115,4900.92010 P510 CUP BEARING,1,2,2,Final position [mm],200,500,254,OK,,
PCMRS0700115,4900.92010 P520 NUT TIGHTEN,0,2,1,Initial rolling torque (dualcone) [Nm],13,19,13.1,OK,,
PCMRS0700115,4900.92010 P520 NUT TIGHTEN,0,2,2,Final rolling torque [Nm],24,31,26.3,OK,,
PCMRS0700115,4900.92010 P520 NUT TIGHTEN,0,2,3,Number of attempts,1,18,18,OK,,
PCMRS0700115,4900.92010 P520 BOLTS ON NUT,0,3,1,Bolts tightened,4,4,4,OK,,
PCMRS0700115,4900.92010 P520 BOLTS ON NUT,0,3,2,BOLT 1: Angle [°],1,360,168,OK,,
PCMRS0700115,4900.92010 P520 BOLTS ON NUT,0,3,3,BOLT 1: Torque [Nm],32.5,43.9,38.3,OK,OK,
PCMRS0700115,4900.92010 P520 BOLTS ON NUT,0,3,4,BOLT 2: Angle [°],1,360,134,OK,,
PCMRS0700115,4900.92010 P520 BOLTS ON NUT,0,3,5,BOLT 2: Torque [Nm],32.5,43.9,38.6,OK,OK,
PCMRS0700115,4900.92010 P520 BOLTS ON NUT,0,3,6,BOLT 3: Angle [°],1,360,311,OK,,
PCMRS0700115,4900.92010 P520 BOLTS ON NUT,0,3,7,BOLT 3: Torque [Nm],32.5,43.9,38.8,OK,OK,
PCMRS0700115,4900.92010 P520 BOLTS ON NUT,0,3,8,BOLT 4: Angle [°],1,360,296,OK,,
