SN,Phase_ID,Phase_Rev,Phase_Number,ID_Acq,Description_Acq,min,max,Value_Acq,Status_Acq,Match with Drawing
PCMRS0700115,600QT P710 PIN POSITIONING 1,0,3,1,Position reached [mm],170,177,176.2,OK,
PCMRS0700115,600QT P710 VICTORY RELEASE 1,0,4,1,Result [1 = OK; 0 = KO],1,1,1,OK,
PCMRS0700115,600QT P710 VICTORY TIGHTENING 1,0,6,1,Bolts tightened,1,1,1,OK,
PCMRS0700115,600QT P710 VICTORY TIGHTENING 1,0,6,2,BOLT 1: Angle [°],15,120,38,OK,
PCMRS0700115,600QT P710 VICTORY TIGHTENING 1,0,6,3,BOLT 1: Torque [Nm],25,35,30.16,OK,OK
PCMRS0700115,600QT P710 PIN POSITIONING 2,0,7,1,Position reached [mm],170,177,176.2,OK,
PCMRS0700115,600QT P710 VICTORY RELEASE 2,0,8,1,Result [1 = OK; 0 = KO],1,1,1,OK,
PCMRS0700115,600QT P710 PIN POSITIONING 3,0,11,1,Position reached [mm],170,177,176.2,OK,
PCMRS0700115,600QT P710 VICTORY RELEASE 3,0,12,1,Result [1 = OK; 0 = KO],1,1,1,OK,
PCMRS0700115,600QT P710 VICTORY TIGHTENING 3,0,14,1,Bolts tightened,1,1,1,OK,
PCMRS0700115,600QT P710 VICTORY TIGHTENING 3,0,14,2,BOLT 1: Angle [°],15,120,37,OK,
PCMRS0700115,600QT P710 VICTORY TIGHTENING 3,0,14,3,BOLT 1: Torque [Nm],25,35,30.17,OK,OK
PCMRS0700115,600QT P710 WASHER CHECK 1,0,15,1,Measure [mm],-999,10,0.63,OK,
PCMRS0700115,600QT P710 WASHER CHECK 2,0,16,1,Measure [mm],-999,10,0.67,OK,
PCMRS0700115,600QT P710 WASHER CHECK 3,0,17,1,Measure [mm],-999,10,0.61,OK,
PCMRS0700115,600QT P710 PIN POSITIONING 1,1,3,1,Position reached [mm],170,177,176.2,OK,
PCMRS0700115,600QT P710 VICTORY RELEASE 1,1,4,1,Result [1 = OK; 0 = KO],1,1,0,NOT OK,
PCMRS0700115,600QT P710 VICTORY RELEASE 1,1,4,1,Result [1 = OK; 0 = KO],1,1,1,OK,
PCMRS0700115,600QT P710 VICTORY TIGHTENING 1,1,6,1,Bolts tightened,1,1,1,OK,
PCMRS0700115,600QT P710 VICTORY TIGHTENING 1,1,6,2,BOLT 1: Angle [°],15,120,42,OK,
PCMRS0700115,600QT P710 VICTORY TIGHTENING 1,1,6,3,BOLT 1: Torque [Nm],25,35,30.11,OK,OK
PCMRS0700115,600QT P710 PIN POSITIONING 2,1,7,1,Position reached [mm],170,177,176.2,OK,
PCMRS0700115,600QT P710 VICTORY RELEASE 2,1,8,1,Result [1 = OK; 0 = KO],1,1,1,OK,
PCMRS0700115,600QT P710 VICTORY TIGHTENING 2,1,10,1,Bolts tightened,1,1,1,OK,
PCMRS0700115,600QT P710 VICTORY TIGHTENING 2,1,10,2,BOLT 1: Angle [°],15,120,43,OK,
PCMRS0700115,600QT P710 VICTORY TIGHTENING 2,1,10,3,BOLT 1: Torque [Nm],25,35,30.18,OK,OK
PCMRS0700115,600QT P710 PIN POSITIONING 3,1,11,1,Position reached [mm],170,177,176.2,OK,
PCMRS0700115,600QT P710 VICTORY RELEASE 3,1,12,1,Result [1 = OK; 0 = KO],1,1,1,OK,
PCMRS0700115,600QT P710 VICTORY TIGHTENING 3,1,14,1,Bolts tightened,1,1,1,OK,
PCMRS0700115,600QT P710 VICTORY TIGHTENING 3,1,14,2,BOLT 1: Angle [°],15,120,43,OK,
PCMRS0700115,600QT P710 VICTORY TIGHTENING 3,1,14,3,BOLT 1: Torque [Nm],25,35,30.08,OK,OK
PCMRS0700115,600QT P710 WASHER CHECK 1,1,15,1,Measure [mm],-999,10,0,OK,
PCMRS0700115,600QT P710 WASHER CHECK 1,1,15,1,Measure [mm],-999,10,0.57,OK,
PCMRS0700115,600QT P710 WASHER CHECK 2,1,16,1,Measure [mm],-999,10,0.51,OK,
PCMRS0700115,600QT P710 WASHER CHECK 3,1,17,1,Measure [mm],-999,10,0.62,OK,
